timestamp,worker,reqid,qname,qtype,respid,rcode,respflags,err,duration
2025/05/21 00:32:11,0,61525,google.com.,A,61525,NOERROR,qr rd ra,<nil>,553.894191ms
2025/05/21 00:32:11,0,10058,googleusercontent.com.,A,10058,NOERROR,qr rd ra,<nil>,84.99244ms
2025/05/21 00:32:11,0,63179,facebook.com.,A,63179,NOERROR,qr rd ra,<nil>,84.58278ms
2025/05/21 00:32:11,0,53872,instagram.com.,A,53872,NOERROR,qr rd ra,<nil>,94.974645ms
2025/05/21 00:32:11,0,53024,wikipedia.org.,A,53024,NOERROR,qr rd ra,<nil>,101.340907ms
2025/05/21 00:32:11,0,9066,x.com.,A,9066,NOERROR,qr rd ra,<nil>,81.841338ms
2025/05/21 00:32:11,0,28511,amazon.com.,A,28511,NOERROR,qr rd ra,<nil>,84.020217ms
2025/05/21 00:32:11,0,52442,tiktok.com.,A,52442,NOERROR,qr rd ra,<nil>,83.121349ms
2025/05/21 00:32:11,0,52339,whatsapp.com.,A,52339,NOERROR,qr rd ra,<nil>,94.676194ms
2025/05/21 00:32:11,0,26510,yahoo.com.,A,26510,NOERROR,qr rd ra,<nil>,86.764926ms
2025/05/21 00:32:11,0,12503,google.com.,A,12503,NOERROR,qr rd ra,<nil>,81.508591ms
2025/05/21 00:32:12,0,49947,googleusercontent.com.,A,49947,NOERROR,qr rd ra,<nil>,82.446022ms
2025/05/21 00:32:12,0,55050,facebook.com.,A,55050,NOERROR,qr rd ra,<nil>,81.472675ms
2025/05/21 00:32:12,0,60387,instagram.com.,A,60387,NOERROR,qr rd ra,<nil>,81.902069ms
2025/05/21 00:32:12,0,3275,wikipedia.org.,A,3275,NOERROR,qr rd ra,<nil>,81.931494ms
2025/05/21 00:32:12,0,13195,x.com.,A,13195,NOERROR,qr rd ra,<nil>,84.929635ms
2025/05/21 00:32:12,0,5508,amazon.com.,A,5508,NOERROR,qr rd ra,<nil>,81.085584ms
2025/05/21 00:32:12,0,7427,tiktok.com.,A,7427,NOERROR,qr rd ra,<nil>,83.187135ms
2025/05/21 00:32:12,0,11696,whatsapp.com.,A,11696,NOERROR,qr rd ra,<nil>,130.66891ms
2025/05/21 00:32:12,0,30106,yahoo.com.,A,30106,NOERROR,qr rd ra,<nil>,82.81059ms
2025/05/21 00:32:12,0,16416,google.com.,A,16416,NOERROR,qr rd ra,<nil>,82.103672ms
2025/05/21 00:32:12,0,151,googleusercontent.com.,A,151,NOERROR,qr rd ra,<nil>,81.930728ms
2025/05/21 00:32:12,0,31166,facebook.com.,A,31166,NOERROR,qr rd ra,<nil>,81.241601ms
2025/05/21 00:32:13,0,44706,instagram.com.,A,44706,NOERROR,qr rd ra,<nil>,83.479211ms
2025/05/21 00:32:13,0,54601,wikipedia.org.,A,54601,NOERROR,qr rd ra,<nil>,84.94862ms
2025/05/21 00:32:13,0,535,x.com.,A,535,NOERROR,qr rd ra,<nil>,82.028795ms
2025/05/21 00:32:13,0,42651,amazon.com.,A,42651,NOERROR,qr rd ra,<nil>,81.815694ms
2025/05/21 00:32:13,0,3634,tiktok.com.,A,3634,NOERROR,qr rd ra,<nil>,86.111599ms
2025/05/21 00:32:13,0,47339,whatsapp.com.,A,47339,NOERROR,qr rd ra,<nil>,82.665606ms
2025/05/21 00:32:13,0,37647,yahoo.com.,A,37647,NOERROR,qr rd ra,<nil>,81.122254ms
2025/05/21 00:32:13,0,14895,google.com.,A,14895,NOERROR,qr rd ra,<nil>,80.907355ms
2025/05/21 00:32:13,0,4215,googleusercontent.com.,A,4215,NOERROR,qr rd ra,<nil>,82.631986ms
2025/05/21 00:32:13,0,41614,facebook.com.,A,41614,NOERROR,qr rd ra,<nil>,82.00319ms
2025/05/21 00:32:13,0,37509,instagram.com.,A,37509,NOERROR,qr rd ra,<nil>,83.020464ms
2025/05/21 00:32:13,0,46548,wikipedia.org.,A,46548,NOERROR,qr rd ra,<nil>,82.71753ms
2025/05/21 00:32:14,0,22,x.com.,A,22,NOERROR,qr rd ra,<nil>,81.024386ms
2025/05/21 00:32:14,0,53526,amazon.com.,A,53526,NOERROR,qr rd ra,<nil>,81.832915ms
2025/05/21 00:32:14,0,14983,tiktok.com.,A,14983,NOERROR,qr rd ra,<nil>,81.467832ms
2025/05/21 00:32:14,0,48356,whatsapp.com.,A,48356,NOERROR,qr rd ra,<nil>,82.362684ms
2025/05/21 00:32:14,0,36852,yahoo.com.,A,36852,NOERROR,qr rd ra,<nil>,85.857906ms
2025/05/21 00:32:14,0,10618,google.com.,A,10618,NOERROR,qr rd ra,<nil>,81.435517ms
2025/05/21 00:32:14,0,32829,googleusercontent.com.,A,32829,NOERROR,qr rd ra,<nil>,82.868038ms
2025/05/21 00:32:14,0,27061,facebook.com.,A,27061,NOERROR,qr rd ra,<nil>,82.488585ms
2025/05/21 00:32:14,0,54871,instagram.com.,A,54871,NOERROR,qr rd ra,<nil>,81.617733ms
2025/05/21 00:32:14,0,13288,wikipedia.org.,A,13288,NOERROR,qr rd ra,<nil>,82.552105ms
